15min_bin,glucose
2019-08-08 18:15:00,5.2
2019-08-08 18:30:00,4.7
2019-08-08 18:45:00,4.7
2019-08-08 19:00:00,5.4
2019-08-08 19:15:00,5.4
2019-08-08 19:30:00,4.9
2019-08-08 19:45:00,4.9
2019-08-08 20:00:00,4.8
2019-08-08 20:15:00,4.8
2019-08-08 20:30:00,5.2
2019-08-08 20:45:00,5.4
2019-08-08 21:00:00,5.4
2019-08-08 21:15:00,5.0
2019-08-08 21:30:00,4.8
2019-08-08 21:45:00,5.0
2019-08-08 22:00:00,5.4
2019-08-08 22:15:00,5.9
2019-08-08 22:30:00,5.8
2019-08-08 22:45:00,5.8
2019-08-08 23:00:00,5.8
2019-08-08 23:15:00,5.5
